ID;CentraleDecentraleProductie;Energiedragers;Perioden;TotaalElektriciteitEnWarmteTJ_1;ElektriciteitGWh_2;ElektriciteitTJ_3;Elektriciteit_4;WarmteTJ_5;InzetTJ_6;ElektrischVermogenMW_7
0;E007022;T001027;2015JJ00;583961;110213;396768;100.0;187193;997093;31143
1;E007022;T001027;2016JJ00;593377;115158;414570;100.0;178807;1000556;32728
2;E007022;T001027;2017JJ00;602765;117168;421804;100.0;180961;991402;32380
3;E007022;T001027;2018JJ00;582633;114380;411767;100.0;170866;941989;34287
4;E007022;T001027;2019JJ00;611909;121408;437069;100.0;174840;967182;36327
5;E007022;T001027;2020JJ00;615363;123278;443801;100.0;171561;946832;42457
6;E007022;T001027;2021JJ00;613255;122170;439814;100.0;173441;943890;47139
7;E007022;T001027;2022JJ00;592636;121575;437670;100.0;154966;902795;50943
8;E007022;T001027;2023JJ00;582801;121641;437906;100.0;144895;846929;57786
9;E007022;T001027;2024JJ00;590252;123844;445838;100.0;144414;827769;61663
10;E007022;T001027;2025JJ00;627771;135365;487314;100.0;140457;906062;62719
11;E007022;E006620;2015JJ00;495746;91090;327924;82.6;167822;837340;
12;E007022;E006620;2016JJ00;502985;95124;342445;82.6;160540;837178;
13;E007022;E006620;2017JJ00;501931;94791;341246;80.9;160685;822330;
14;E007022;E006620;2018JJ00;481888;91412;329083;79.9;152805;777254;
15;E007022;E006620;2019JJ00;493030;94151;338943;77.5;154086;776342;
16;E007022;E006620;2020JJ00;458187;85949;309416;69.7;148771;702010;
17;E007022;E006620;2021JJ00;425560;77388;278595;63.3;146965;660693;
18;E007022;E006620;2022JJ00;379329;68722;247398;56.5;131931;595076;
19;E007022;E006620;2023JJ00;341335;60133;216479;49.4;124855;524443;
20;E007022;E006620;2024JJ00;331123;57459;206852;46.4;124271;496973;
21;E007022;E006620;2025JJ00;353218;64964;233871;48.0;119347;547873;
22;E007022;E006461;2015JJ00;145249;39391;141806;35.7;3443;336632;5751
23;E007022;E006461;2016JJ00;136051;36817;132540;32.0;3511;304662;5751
