odata.type;ID;Position;ParentID;Type;Key;Title;Description;ReleasePolicy;Datatype;Unit;Decimals;Default
Cbs.OData.Dimension;0;0;;Dimension;CentraleDecentraleProductie;Centrale/decentrale productie;;;;;;
Cbs.OData.Dimension;1;1;;Dimension;Energiedragers;Energiedragers;;;;;;
Cbs.OData.TimeDimension;2;2;;TimeDimension;Perioden;Perioden;;true;;;;
Cbs.OData.TopicGroup;3;;;TopicGroup;;Bruto productie elektriciteit en warmte;De opbrengst aan elektriciteit en/of warmte uit de inzet van niet-hernieuwbare brandstoffen, hernieuwbare energiedragers, kernenergie en overige energiedragers, inclusief het eigen elektriciteitsverbruik van de installaties.;;;;;
Cbs.OData.Topic;4;3;3;Topic;TotaalElektriciteitEnWarmteTJ_1;Totaal elektriciteit en warmte (TJ);De totale opbrengst aan elektriciteit en warmte in TJ (terajoule = 1 000 miljard Joule).;;Double;TJ;0;Impossible
Cbs.OData.TopicGroup;5;;3;TopicGroup;;Elektriciteit;Stroom van elektronen die wordt gebruikt om bijvoorbeeld lampen te laten branden of wasmachines te laten draaien. Elektronen zijn elementaire deeltjes in een atoom met een negatieve lading, die door een spanningsverschil gaan stromen. In de praktijk wordt zo'n spanningsverschil opgewekt door bijvoorbeeld elektriciteitscentrales, windmolens of batterijen.;;;;;
Cbs.OData.Topic;6;4;5;Topic;ElektriciteitGWh_2;Elektriciteit (GWh);De opbrengst aan elektriciteit in GWh (gigawattuur). De GWh is de fysieke eenheid van elektriciteit.;;Double;GWh;0;Impossible
Cbs.OData.Topic;7;5;5;Topic;ElektriciteitTJ_3;Elektriciteit (TJ);De opbrengst aan elektriciteit in TJ (terajoule). Door elektriciteit uit te drukken in TJ (terajoule = 1 000 miljard Joule) kan deze energetisch worden vergeleken met andere energiedragers. 1 GWh komt overeen met 3,6 TJ.;;Double;TJ;0;Impossible
Cbs.OData.Topic;8;6;5;Topic;Elektriciteit_4;Elektriciteit (%);Percentage van de opbrengst aan elektriciteit ten opzichte van de totale hoeveelheid geproduceerde elektriciteit in dat jaar.;;Float;%;1;Impossible
Cbs.OData.Topic;9;7;3;Topic;WarmteTJ_5;Warmte (TJ);De opbrengst aan stoom en warm water in TJ (terajoule = 1 000 miljard Joule).;;Double;TJ;0;Impossible
Cbs.OData.Topic;10;8;;Topic;InzetTJ_6;Inzet (TJ);De hoeveelheid van de energiedragers die zijn verbruikt voor de productie van elektriciteit en warmte in TJ (terajoule = 1 000 miljard Joule).;;Double;TJ;0;Impossible
Cbs.OData.Topic;11;9;;Topic;ElektrischVermogenMW_7;Elektrisch vermogen (MW);Het elektrisch vermogen van de in Nederland opgestelde elektriciteit producerende installaties. Een deel van de installaties kan elektriciteit produceren met inzet van meerdere energiedragers (bijvoorbeeld aardgas en steenkool). Het vermogen wordt dan geteld bij de energiedrager die door de betreffende installatie het meest wordt ingezet. Een Watt is de fysieke eenheid van elektrisch vermogen. 1 megawatt (MW of MWe, waarbij 'e' staat voor elektriciteit) = 1 miljoen Watt. Een generator met een elektrisch vermogen van 1 MW kan per uur een hoeveelheid elektriciteit produceren van 1 MWh (megawattuur) of 0,001 GWh (gigawattuur).;;Double;MW;0;Impossible
