Key;Title;Description;CategoryGroupID
T001176;Totaal Stationaire en mobiele bronnen;"Stationaire bronnen zijn niet mobiele bronnen zoals de inzet van energiedragers in ovens, kachels en ketels, industriële processen en bijvoorbeeld emissies uit stortplaatsen en activiteiten in de land en tuinbouw. 
Mobiele bronnen zijn transportmiddelen en mobiele werktuigen met een verbrandingsmotor, inclusief buitenlandse transportmiddelen en scheepvaart op het Nederlands deel van het (Europees) Continentaal Plat (NCP).";
A025447;"Stationaire bronnen; totaal";Stationaire bronnen zijn niet mobiele bronnen zoals de inzet van energiedragers in ovens, kachels en ketels, industriële processen en bijvoorbeeld emissies uit stortplaatsen en activiteiten in de land en tuinbouw.;1
800044;Energiesector;"Deze categorie is een samentelling van categorieën:
06 Winning van aardolie en aardgas
192 Aardolie-industrie
35 Energiebedrijven";2
305800;06 Winning van aardolie en aardgas;Winning van aardolie en aardgas;2
320300;192 Aardolie-industrie;"Aardolie-industrie
Deze groep omvat:
Aardolieraffinage:
- vervaardiging van motorbrandstoffen: benzine, kerosine, enz.;
- productie van overige brandstoffen: lichte en zware stookolie, raffinaderijgassen als ethaan, propaan, butaan, enz.;
- vervaardiging van producten voor de petrochemische industrie en voor de vervaardiging van wegdekken;
- vervaardiging van overige aardolieproducten: white spirit, vaseline, paraffine, enz.
Aardolieverwerking (geen -raffinage):
- vervaardiging van smeeroliën en vetten uit aardolie;
- recycling van afgewerkte olie;
- vervaardiging van aardolieproducten uit afvalolie.";2
346700;35 Energiebedrijven;Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht;2
800045;Nijverheid (geen energiesector);"Deze categorie is een samentelling van categorieën:
B Winning van delfstoffen (geen 06 Winning van aardolie en aardgas)
C Industrie (geen 192 Aardolie-industrie)
F Bouwnijverheid";3
307610;10-12 Voedings-, genotmiddelenindustrie;"""Vervaardiging van voedingsmiddelen, dranken en tabaksproducten 
Deze categorie is een samentelling van categorieën: 
10 Vervaardiging van voedingsmiddelen 
11 Vervaardiging van dranken 
12 Vervaardiging van tabaksproducten""";3
312505;13-15 Textiel-, kleding-, lederindustrie;"""Vervaardiging van textiel, kleding en lederwaren 
Deze categorie is een samentelling van categorieën: 
13 Vervaardiging van textiel 
14 Vervaardiging van kleding 
15 Vervaardiging van leer, lederwaren en schoenen""";3
315800;16 Houtindustrie;Primaire houtbewerking en vervaardiging van artikelen van hout, kurk, riet en vlechtwerk (geen meubels);3
