ID;Emissiebronnen;EmissiesNaarLucht;Perioden;EmissiesNaarLucht_1
0;T001176;A044109;1990JJ00;170900.0
1;T001176;A044109;1995JJ00;180800.0
2;T001176;A044109;2000JJ00;182400.0
3;T001176;A044109;2001JJ00;188000.0
4;T001176;A044109;2002JJ00;187700.0
5;T001176;A044109;2003JJ00;190800.0
6;T001176;A044109;2004JJ00;193900.0
7;T001176;A044109;2005JJ00;190400.0
8;T001176;A044109;2006JJ00;184800.0
9;T001176;A044109;2007JJ00;184800.0
10;T001176;A044109;2008JJ00;188700.0
11;T001176;A044109;2009JJ00;185100.0
12;T001176;A044109;2010JJ00;197400.0
13;T001176;A044109;2011JJ00;184100.0
14;T001176;A044109;2012JJ00;181900.0
15;T001176;A044109;2013JJ00;180800.0
16;T001176;A044109;2014JJ00;175200.0
17;T001176;A044109;2015JJ00;182900.0
18;T001176;A044109;2016JJ00;184500.0
19;T001176;A044109;2017JJ00;181600.0
20;T001176;A044109;2018JJ00;178300.0
21;T001176;A044109;2019JJ00;174900.0
22;T001176;A044109;2020JJ00;163200.0
23;T001176;A044109;2021JJ00;169300.0
24;T001176;A044109;2022JJ00;156000.0
25;T001176;A044109;2023JJ00;141900.0
26;T001176;A044109;2024JJ00;140400.0
27;T001176;A044109;2025JJ00;142200.0
112;T001176;A044112;1990JJ00;714.0
113;T001176;A044112;1995JJ00;610.4
114;T001176;A044112;2000JJ00;543.4
115;T001176;A044112;2001JJ00;534.0
116;T001176;A044112;2002JJ00;520.1
117;T001176;A044112;2003JJ00;515.5
118;T001176;A044112;2004JJ00;507.9
119;T001176;A044112;2005JJ00;498.5
120;T001176;A044112;2006JJ00;489.7
121;T001176;A044112;2007JJ00;463.1
122;T001176;A044112;2008JJ00;439.4
123;T001176;A044112;2009JJ00;405.5
124;T001176;A044112;2010JJ00;406.9
125;T001176;A044112;2011JJ00;395.6
126;T001176;A044112;2012JJ00;376.9
127;T001176;A044112;2013JJ00;360.5
128;T001176;A044112;2014JJ00;355.2
129;T001176;A044112;2015JJ00;362.6
130;T001176;A044112;2016JJ00;355.4
131;T001176;A044112;2017JJ00;345.0
132;T001176;A044112;2018JJ00;345.3
133;T001176;A044112;2019JJ00;338.8
134;T001176;A044112;2020JJ00;315.0
135;T001176;A044112;2021JJ00;307.3
136;T001176;A044112;2022JJ00;299.8
137;T001176;A044112;2023JJ00;283.9
138;T001176;A044112;2024JJ00;268.7
139;T001176;A044112;2025JJ00;262.3
